address	name	kind	sources	facts	note
# Load path: streams and decoders
004152f2	STRM_Open	descriptive	docs dsn-loader.md; blind review	call:_uopen_; call:0043b111; ref:005df484; caller:DSN_LoadHeader	Opens a file on the 0x2c-byte ring-buffer stream: closes the old fd, _uopen_, resets positions, allocates twice the buffer size from the MEM stack at 0x5df484. Returns 1/0.
004154db	STRM_Peek	descriptive	docs dsn-loader.md; blind review	call:memmove_; call:00460d82; caller:DSN_LoadHeader; caller:DSN_LoadVertexPool	Returns a pointer to N (EDX) contiguous buffered bytes without consuming them; copies wrapped bytes into the slack area; exits if even the slack is too small.
004155a2	STRM_Commit	descriptive	docs dsn-loader.md; blind review	const:fd; caller:DSN_LoadHeader; caller:DSN_LoadMaterialsAndFaces	Consumes the count set by STRM_Peek: advances the read position with wrap, updates available/free, clears flag bit 1 (& 0xfd).
0049afd1	LZ_Unpack	descriptive	docs dsn-loader.md, models.md; blind review	caller:DSN_LoadMaterialsAndFaces; caller:DSN_LoadVertexPool; caller:0041020f; caller:004105eb; ref:004f7720	Cryo LZ77 decompressor, hand-written asm with stack arguments (src, dst): 32-bit tag word with sentinel; 1 = literal, 01 = long match (13-bit offset, 3-bit length, extension byte, 0 ends), 00 = short match. Returns the output size.
00448e25	RLE_UnpackZeros	descriptive	docs file-formats.md; blind review	const:ff; caller:00448f5f; caller:00449bf9	Zero-run decoder (dst EAX, src EDX, length EBX): 00 N writes N zeros, other bytes are literals. DREAMS.DAT records.
# Load path: DAN, DSN, animation
0040fff7	DAN_OpenArchive	descriptive	docs re-setup.md, engine.md; blind review	str:DANF; str:not enough memory in DAN_Load3DC; const:96000; call:_uopen_; call:strncmp_	Opens a DANF animation pack: magic, 5-byte block, two u16-counted directories (11- and 13-byte entries), 0x96000 work buffer. Its error text says DAN_Load3DC, as does DAN_Read3DC's; neither is proven to be the function of that name.
0041020f	DAN_Read3DC	descriptive	docs engine.md; blind review	str:Debordement dans DAN_Load3DC; const:96000; call:0049afd1; caller:RES_ReadFile	Reads one type-1 compressed chunk (at most 0x96000 bytes) from the open DAN file and LZ_Unpacks it.
004105eb	DAN_Load3DA	descriptive	docs models.md, dsn-loader.md; blind review	call:strncmp_; call:0049afd1; caller:RES_ReadFile; ref:005db39c	Finds a .3DA name in the open DAN archive's 13-byte directory and LZ_Unpacks it; RES_ReadFile routes .3DA here.
00417a07	DSN_Create3DM	descriptive	docs dsn-loader.md; blind review	call:memcpy_; call:0045fd36; const:18014; const:10000; const:8000; caller:RES_ReadFile	In DSN mode a .3DM texture is built, not read: finds the name in the DSN 11-byte table, copies the 20-byte header template, zeroes a 0x8000 palette block and a 0x10000 page at +0x8014, returns 0x18014. DSN_LoadTextures fills it.
00404d98	ANIM_LoadEntitySet	descriptive	docs models.md, ai-animation-runtime.md; blind review	str:an???.3da; str:data\3dc\; call:004550b0; call:00455124; call:004551b5; call:00456e24; const:158	Loads an entity's clips: claims one of 16 family banks, lists an???.3da from the DAN archive or data\3dc\, atoi_ on the AN### suffix, RES_Load into slot[n]; fills gaps up to 64; sets obj+0x158 and obj+0xa9 bit 4.
# Load path: resources and models
00456e24	RES_Load	descriptive	docs scene-geometry.md; blind review	call:RES_ReadFile; call:00456368; ref:00661ee4; caller:00404d98; caller:0041d624	Reads a resource file into the arena (capped at the free space - 0x14), advances the arena top, then RES_Relocate. Returns a handle (index << 16) or -1.
00456368	RES_Relocate	descriptive	docs scene-geometry.md; blind review	call:00455eb4; call:00455e48; call:00456038; caller:00456e24; ref:00661e3c	Registers a loaded resource (handle, size, type, list links at 0x661e3c) and turns its offsets into pointers by type; type 1 (model) also relocates the node tree and loads its .3DM materials.
00455eb4	RES_RelocOffsetTable	descriptive	docs scene-geometry.md; blind review	size:36; caller:00456368	In place: p[i] = base + p[i] - bias over a counted offset table.
00455e48	MDL_RelocNodeTree	descriptive	docs scene-geometry.md; blind review	call:00455d6c; caller:00456368	Iterative depth-first walk (parent +0x10, child +0x14, sibling +0x18) calling MDL_RelocNode on each node.
00455d6c	MDL_RelocNode	descriptive	docs scene-geometry.md; blind review	call:00455700; const:80; const:a8; caller:00455e48	Adds the relocation delta to a node's pointers (+0x10..+0x18 links, +0x80..+0xa8), then relocates its primitive lists.
00455700	MDL_RelocPrimitives	descriptive	docs scene-geometry.md; blind review	const:44; caller:00455d6c	Relocates a linked list of typed primitive blocks; element records stride 0x44 (0x38 for types -2, 1, 4, 0x11, 0x1b).
00456038	MDL_LoadMaterials	descriptive	docs re-setup.md (string anchor); blind review	str:.3DM; call:00456e24; const:8014; caller:00456368	Resolves a model's 44-byte material names through a refcounted texture cache; a miss loads <dir><name>.3DM with RES_Load and caches the page at +0x8014.
# Load path: game data and disc
00449bf9	DDAT_LoadRecord	descriptive	docs file-formats.md; blind review	str:EMPTY; call:00448e25; const:96; ref:00633c14	Finds a named record among the 150 DREAMS.DAT entries (unless "EMPTY") and RLE_UnpackZeros it into 0x65b344; falls back to the previous name.
00427f11	CD_FindDrive	descriptive	docs re-setup.md (disc check); blind review	str:1CD.ID; str:2CD.ID; str:your CDROM does not contain a CD of DREAMS; const:5a; const:43; ref:0049ff2c	Tries drives Z down to C for X:\DATA\1CD.ID / 2CD.ID and stores the letter in 0x49ff2c; fatal error if none.
00426143	FSB_Load	descriptive	docs re-setup.md (file layer); blind review	str:DREAMS FSB; call:_uopen_; call:0045cc17; call:004778bd	Loads a "DREAMS FSB  " bank: 12-byte magic, count N, N sizes into a (pointer, size) table, then the blob. The meaning of FSB is unknown.
00427d64	CD_PrepareLevel	descriptive	docs boot-sequence.md; blind review	str:Please wait while loading; str:ListL%d.txt; call:00428626; call:00428356; caller:SCENE_LoadLevel	Level from the save record +0x1fc; asks for CD (level+1)>>1 if needed; with hard-disk caching copies the files listed in ListL<n>.txt / ListL0.txt to X:\CRYO\DREAMS\ behind "Please wait while loading ...".
004156bf	GAME_Init	descriptive	docs boot-sequence.md; blind review	str:hi640.spr; str:sour.alp; str:dialog.drd; const:172000; const:57800; call:00427d0e; call:00448f5f; call:0041072c; caller:WinMain	One-time startup: CD drive and paths, DREAMS.DAT, the 0x172000 MEM stack, the 0x57800 stream, fonts hi640/480/320, sour.alp, dialog.drd, UI icons. Failures are fatal.
# Load path: dialogue and sound
0041072c	DRD_Open	descriptive	docs sprites-ui-dialog.md, re-setup.md; blind review	str:DRDF; call:004285be; call:fopen_; call:fread_; caller:004156bf	Opens DRDF (DIALOG.DRD): 16-byte header, entry offset table, entry buffer sized from the header; current entry = -1.
00410928	DRD_LoadEntry	descriptive	docs sprites-ui-dialog.md, assets.md; blind review	call:fread_; const:64; ref:005db3a4; ref:005db3a8	Seeks to entry n and parses its sub-chunks: 2 = WAVE, 3 = timed text lines (time * 15/100), 4 = optional portrait.
00410cd6	DRD_SelectEntry	descriptive	docs sprites-ui-dialog.md; blind review	call:00410928; caller:MENJ_Dispatcher; size:67	Thin wrapper: DRD_LoadEntry, returns 0/1.
00410d19	DRD_PlayVoice	descriptive	docs sprites-ui-dialog.md; blind review	call:00446e01; call:MGM_SendMessage; ref:005db5c8	Plays the current entry's WAVE through DSOUND_PlayVoice and records MGM_SendMessage(0x11) as the start time.
00446e01	DSOUND_PlayVoice	descriptive	docs assets.md; blind review	ref:00633bf0; caller:00410d19; call:00447457	If sound is on (0x633bf0): Stop, SetCurrentPosition(0), fill the 11 kHz mono 8-bit buffer from the WAV (skipping its 0x2c header), Play.
# Load path: sprites and UI
0043ad40	BF_Mount	descriptive	docs re-setup.md; blind review	str:UBIK; str:is not a valid file; call:004092ae; call:00409304; call:004093f0; call:0043ac08; const:11c; const:103	Mounts a UBIK .BF archive: 16-byte header, directory of 0x103-byte names + offset + size into 0x11c-byte records added to the VFS table.
00425254	SPR_LoadSet	descriptive	blind review (docs research-log.md said font loader: same format, narrower claim)	str:.ALP; str:Error SprSet; const:1c00; call:00424e0d; call:00424e68; caller:004156bf	General sprite-set loader into slot EDX: 512-byte palette, 0x1c00-byte table of 256 descriptors at end - 0x1c04, pixels 16-bit when the name has .ALP. Fonts (via 0x425c61) and sour.alp load through it.
00426c46	SPR_LoadIconBanks	descriptive	docs file-formats.md; blind review	str:magie.alp; str:Read Icone Error; const:1c00; call:00409304; call:004093f0; caller:004341eb	Loads the five ICONES.BF banks named at 0x49dacc (magie.alp ..., stride 13) through the VFS; same TABLE format as SPR_LoadSet.
004341eb	UI_InitIcons	descriptive	docs sprites-ui-dialog.md, boot-sequence.md; blind review	str:icones.bf; str:mcombat; call:0043ad40; call:00426c46; call:00427217; caller:004156bf	Mounts data\icone\icones.bf, loads the icon banks, binds about 20 named icons (nothing, infosne, block, mcombat, joy_*) through ICON_FindByName.
00427217	ICON_FindByName	descriptive	docs sprites-ui-dialog.md; blind review	call:00477918; const:48; ref:0049db12; ref:0049dd9a	stricmp over the 72-name table at 0x49db12 (stride 9); returns the index and writes the (bank, slot) pair from 0x49dd9a to *EDX/*EBX; -1 if absent.
00435c2b	MENU_PlaceCornerIcons	descriptive	docs boot-sequence.md; blind review	str:UpLfNA; str:DnRg; call:00427217; caller:BOOT_Run	Looks up UpLf/UpRg/DnLf/DnRg (NA and lit variants) and places them on a 2x2 grid scaled by the display factors.
# File helpers
00409304	VFS_Open	descriptive	blind review x2	str:Open file Error; call:_uopen_; call:00409634; ref:004a2f94; const:11c	Opens from disk with _uopen_; failing that (read-only modes), looks the name up in the mounted .BF directory and returns -(index+1), seeking the archive to the entry.
004093f0	VFS_Read	descriptive	blind review x2	str:Read file Error; call:0045c6ba; ref:004a2f94; const:108	Read for VFS handles: a negative handle reads from its archive entry (clamped to the entry size); otherwise read_. Fatal on error.
00409634	VFS_Seek	descriptive	blind review x2	str:Seek file Error; call:0045cc17; ref:004a2f94; const:108	Seek (whence 0/1/2) for VFS handles: archive entries clamped to [0, size-1]; otherwise lseek_. Fatal on error.
0043ac08	VFS_AddArchiveEntries	descriptive	blind review x2	str:Nom: %s; call:memcpy_; ref:004a2f94; ref:004a2f98; const:11c; caller:0043ad40	Merges a batch of 0x11c-byte .BF directory entries into the global table (0x4a2f94, count 0x4a2f98): copy on first call, then replace same-name entries or grow.
004092ae	FILE_Exists	descriptive	blind review x2	call:_uopen_; call:0045c674; size:86	_uopen_ then close_; returns fd != -1.
004285be	FILE_GetInstallRoot	descriptive	blind review x2	str:X:\CRYO\DREAMS\; size:43	Returns "X:\CRYO\DREAMS\" (the drive letter is patched at run time).
0043ab0f	SYS_FatalError	descriptive	blind review x2	imp:MessageBoxA; str:Error; call:00460d82	MessageBoxA(g_hWnd, msg, "Error", MB_ICONERROR), then exit_.
0043b026	MEM_CreateStack	descriptive	blind review x2	call:004602d5; caller:004156bf	Creates a bump allocator {base, cur, size}; GAME_Init makes the 0x172000 one.
0043b111	MEM_Alloc	descriptive	blind review x2	caller:004152f2; caller:0040fff7; size:129	Allocates n bytes from a MEM stack: stores the old top after the block (back-link) and advances by n + 4; 0 when full.
00448f5f	DDAT_Load	descriptive	blind review x2	str:dreams.dat; const:25400; call:0045c6ba; call:00448e25; caller:004156bf	Loads dreams.dat (0x25400 bytes) and unpacks the current record; fills an "EMPTY" default table when the file is missing.
0041d624	ENT_LoadObject	descriptive	blind review x2	str:can't find DAN file; str:%sdata/3dc/%s; call:0040fff7; call:00456e24; const:2d0	Takes a free slot of 32 (stride 0x2d0) and loads a 3D object: its .DAN if any, the model via RES_Load, then its properties from the current DREAMS.DAT record.
00428626	CD_PromptSwap	descriptive	docs boot-sequence.md (CD-swap screen); blind review	str:Please change to CD no %d; str:DATA\1CD.ID; call:fopen_; caller:00427d64	Shows "Please change to CD no %d" and polls until DATA\1CD.ID or DATA\2CD.ID opens.
00428356	CD_CopyFileList	descriptive	blind review x2 (the first as a callee of CD_PrepareLevel)	str:error occurred while copying files to the hard; call:fopen_; call:0043ab0f; caller:00427d64	Reads a list file and copies each file to the hard disk in 0x8000-byte chunks; on failure deletes the copied .dsn/.dan/.hnm and LEVEL.ID, then a fatal error.
00427d0e	CD_InitPaths	descriptive	blind review x2 (the first as a callee of GAME_Init)	call:00427f11; call:_dos_setdrive_; str:X:\CRYO\DREAMS\; caller:004156bf	Startup: CD_FindDrive, checks the hard-disk install and FULL.ID, changes to the install and CD roots, _dos_setdrive_.
00424e0d	FILE_OpenOrDie	descriptive	blind review; its string	str:Open file Error; call:_uopen_; call:00424dda; size:91	_uopen_, fatal "Open file Error" on failure.
00424e68	FILE_ReadOrDie	descriptive	blind review; its string	str:Read file Error; call:0045c6ba; call:00424dda; size:98	read_, fatal "Read file Error" on failure.
00424eca	FILE_SeekOrDie	descriptive	blind review; its string	str:Seek file Error; call:0045cc17; call:00424dda; size:98	lseek_, fatal "Seek file Error" on failure.
00424f2c	FILE_CloseOrDie	descriptive	blind review; its string	str:Close file Error; call:0045c674; call:00424dda; size:82	close_, fatal "Close file Error" on failure.
0040fc1f	GAME_LoadSaveIcon	descriptive	blind review; its string	str:data\game\game%d.ico; const:2000; call:0045c6ba	Looks the slot up in a 10-entry table and loads data\game\game%d.ico (0x2000 bytes) into 0x5d8b98; zeroes it on failure.
# Watcom runtime not matched by the library signatures
004551b5	atoi_	runtime	docs models.md (parses the AN### suffix); blind review x2	ref:004ac7c4; caller:00404d98; size:87	Skips spaces (ctype bit 2), optional sign, accumulates digits (ctype bit 0x20) as n*10 + c - '0'.
00460d82	exit_	runtime	blind review x2	call:_exit_; call:0048641c; caller:__NTMain; caller:0043ab0f	atexit hook at 0x4aa9f4, __FiniRtns(0x10, 0xff), then _exit_.
0045c6ba	read_	runtime	blind review x2	imp:ReadFile; ref:004c2798; const:6d	ReadFile on the fd table at 0x4c2798; text mode drops CR and stops at ^Z; ERROR_BROKEN_PIPE (0x6d) returns the count.
0045c674	close_	runtime	blind review x2	ref:004c27ec; call:004855e9; size:70	fd range check, __NTRemoveFileHandle_, EBADF.
0045cc17	lseek_	runtime	blind review x2	imp:SetFilePointer; ref:004c2798; caller:00409634	SetFilePointer on the fd table, errno on failure.
004778bd	tell_	runtime	blind review x2	imp:SetFilePointer; ref:004c2798; size:91	SetFilePointer(h, 0, NULL, FILE_CURRENT).
0045fbfb	strupr_	runtime	blind review x2	const:61; size:30	In-place a-z to A-Z; returns its argument.
0045fd36	memset_	runtime	blind review x2	call:__STOSB; size:24	STOSB fill with the byte replicated into a dword; returns dest.
00477918	stricmp_	runtime	blind review x2	const:41; const:5a; caller:_fullpath_; size:59	ASCII case-folding compare; returns c1 - c2.
004550b0	_dos_findfirst_	runtime	blind review x2	imp:FindFirstFileA; call:__GetNTDirInfo_; call:__set_errno_dos_	FindFirstFileA, attribute filter, __GetNTDirInfo_.
00455124	_dos_findnext_	runtime	blind review x2	imp:FindNextFileA; call:__GetNTDirInfo_	FindNextFileA, attribute filter, __GetNTDirInfo_.
# Doc-referenced functions: docs + blind review + adjudication (2026-09-26)
004014d0	SPR_BlendChannel	descriptive	docs file-formats.md, sprites-ui-dialog.md; blind review (high); adjudicated AGREE	size:43; caller:00401524	Mixes one colour channel by alpha via the 32x32 product table.
00401524	SPR_BlendPixel	descriptive	docs file-formats.md, research-log.md, sprites-ui-dialog.md; blind review (high); adjudicated AGREE	const:f800; const:7c00; call:004014d0; ref:005ecdfc; ref:0049da1c	Blends two 565/555 pixels by the global alpha.
00401935	SPR_BlitSprite	descriptive	docs file-formats.md, sprites-ui-dialog.md; blind review (high); adjudicated AGREE	const:1c2; const:f7df; caller:SPR_Draw; caller:TEXT_DrawGlyph	Core clipped sprite blit into g_frameBuffer; flags opaque/50%/per-pixel alpha, half scale, darken.
0040368b	UI_DrawPyramidGauge	descriptive	docs file-formats.md, sprites-ui-dialog.md; blind review (medium); adjudicated AGREE	const:e862; const:bfd; const:fd; caller:00427859; call:00401524	Draws the HUD pyramid gauge, replacing marker bytes 0xff/0xfe/0xfd with fill texels below each level.
00403b60	UI_TickGaugeFire	descriptive	docs research-log.md, sprites-ui-dialog.md; blind review (medium); adjudicated AGREE	const:afafafaf; const:4d17; const:611f; const:14c0; caller:004184d3	Advances the 64x84 fire-noise buffer one step.
00403bcd	TEXT_BlitGlyphFaded	descriptive	docs file-formats.md, research-log.md; blind review (medium); adjudicated PARTIAL	caller:00425e74; call:00401524; const:f7df; const:40	Glyph blit with one alpha for the whole glyph.
0040484d	ANIM_InitStateTable	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	ref:004f7728; ref:004f7734; const:fffe; caller:0041f42e; size:1355	Fills the 16x64 state-to-clip table: clip ids -1, per-state flags (2 one-shot, 4 locked, 8 hold, 0x20 cut)
00405118	ANIM_RequestState	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	const:7e8; const:3e8; caller:SCENE_LoadLevel; call:__CHP; ref:005e5388	Stores the requested state (EDX) in +0x160 unless locked; turn states adjust angles.
004058d5	ANIM_ApplyPendingState	descriptive	docs ai-animation-runtime.md; blind review (high); adjudicated AGREE	call:00459800; call:004067a2; ref:004c33c8; caller:00407b51; ref:004f7728	Commits +0x160 to +0x15c, looks up the clip in 0x4f7728, starts a blend; picks idle after one-shots.
00405db4	ANIM_FinishBlend	descriptive	docs animation-root-blending.md, research-log.md; blind review (high); adjudicated AGREE	size:110; caller:00405f1f; caller:004062ad; caller:0041f42e; const:16c	Next clip/frames/time become current; clears the blending bit.
00405f1f	ANIM_TickBlend	descriptive	docs animation-root-blending.md, animation-timing.md, research-log.md; blind review (medium); adjudicated AGREE	caller:00407b51; call:00405db4; call:00459d60; ref:004c33d8	Cross-fade step between old and new clip, raises weight +0x164, finishes at 0x100.
