#program	WINDREAM.EXE
#sha256	1635f530e1ce64237b978073252bc2c583ead5e2436563ba3a42be4dc1b2c761
#imagebase	400000
FUNC	65538	entry	undefined entry(void)	
CMT	178	eol	AUTO
CMT	1a0	eol	.idata
CMT	1c8	eol	DGROUP
CMT	1f0	eol	.bss
CMT	218	eol	.reloc
CMT	240	eol	.rsrc
CMT	9c08c	eol	IMAGE_THUNK_DATA32
CMT	9c090	eol	IMAGE_THUNK_DATA32
CMT	9c094	eol	IMAGE_THUNK_DATA32
CMT	9c098	eol	IMAGE_THUNK_DATA32
CMT	9c09c	eol	IMAGE_THUNK_DATA32
CMT	9c0a0	eol	IMAGE_THUNK_DATA32
CMT	9c0a4	eol	IMAGE_THUNK_DATA32
CMT	9c0a8	eol	IMAGE_THUNK_DATA32
CMT	9c0b0	eol	IMAGE_THUNK_DATA32
CMT	9c0b4	eol	IMAGE_THUNK_DATA32
CMT	9c0b8	eol	IMAGE_THUNK_DATA32
CMT	9c0bc	eol	IMAGE_THUNK_DATA32
CMT	9c0c0	eol	IMAGE_THUNK_DATA32
CMT	9c0c4	eol	IMAGE_THUNK_DATA32
CMT	9c0cc	eol	IMAGE_THUNK_DATA32
CMT	9c0d0	eol	IMAGE_THUNK_DATA32
CMT	9c0d4	eol	IMAGE_THUNK_DATA32
CMT	9c0d8	eol	IMAGE_THUNK_DATA32
CMT	9c0dc	eol	IMAGE_THUNK_DATA32
CMT	9c0e0	eol	IMAGE_THUNK_DATA32
CMT	9c0e4	eol	IMAGE_THUNK_DATA32
CMT	9c0e8	eol	IMAGE_THUNK_DATA32
CMT	9c0ec	eol	IMAGE_THUNK_DATA32
CMT	9c0f0	eol	IMAGE_THUNK_DATA32
CMT	9c0f4	eol	IMAGE_THUNK_DATA32
CMT	9c0f8	eol	IMAGE_THUNK_DATA32
CMT	9c0fc	eol	IMAGE_THUNK_DATA32
CMT	9c100	eol	IMAGE_THUNK_DATA32
CMT	9c104	eol	IMAGE_THUNK_DATA32
CMT	9c108	eol	IMAGE_THUNK_DATA32
CMT	9c10c	eol	IMAGE_THUNK_DATA32
CMT	9c110	eol	IMAGE_THUNK_DATA32
CMT	9c114	eol	IMAGE_THUNK_DATA32
CMT	9c118	eol	IMAGE_THUNK_DATA32
CMT	9c11c	eol	IMAGE_THUNK_DATA32
CMT	9c120	eol	IMAGE_THUNK_DATA32
CMT	9c128	eol	IMAGE_THUNK_DATA32
CMT	9c12c	eol	IMAGE_THUNK_DATA32
CMT	9c130	eol	IMAGE_THUNK_DATA32
CMT	9c134	eol	IMAGE_THUNK_DATA32
CMT	9c138	eol	IMAGE_THUNK_DATA32
CMT	9c13c	eol	IMAGE_THUNK_DATA32
CMT	9c140	eol	IMAGE_THUNK_DATA32
CMT	9c144	eol	IMAGE_THUNK_DATA32
CMT	9c148	eol	IMAGE_THUNK_DATA32
CMT	9c14c	eol	IMAGE_THUNK_DATA32
CMT	9c150	eol	IMAGE_THUNK_DATA32
CMT	9c154	eol	IMAGE_THUNK_DATA32
CMT	9c158	eol	IMAGE_THUNK_DATA32
CMT	9c15c	eol	IMAGE_THUNK_DATA32
CMT	9c160	eol	IMAGE_THUNK_DATA32
CMT	9c164	eol	IMAGE_THUNK_DATA32
CMT	9c168	eol	IMAGE_THUNK_DATA32
CMT	9c16c	eol	IMAGE_THUNK_DATA32
CMT	9c170	eol	IMAGE_THUNK_DATA32
CMT	9c174	eol	IMAGE_THUNK_DATA32
CMT	9c178	eol	IMAGE_THUNK_DATA32
CMT	9c17c	eol	IMAGE_THUNK_DATA32
CMT	9c180	eol	IMAGE_THUNK_DATA32
CMT	9c184	eol	IMAGE_THUNK_DATA32
CMT	9c188	eol	IMAGE_THUNK_DATA32
CMT	9c18c	eol	IMAGE_THUNK_DATA32
CMT	9c190	eol	IMAGE_THUNK_DATA32
CMT	9c194	eol	IMAGE_THUNK_DATA32
CMT	9c198	eol	IMAGE_THUNK_DATA32
CMT	9c19c	eol	IMAGE_THUNK_DATA32
CMT	9c1a0	eol	IMAGE_THUNK_DATA32
CMT	9c1a4	eol	IMAGE_THUNK_DATA32
CMT	9c1a8	eol	IMAGE_THUNK_DATA32
CMT	9c1ac	eol	IMAGE_THUNK_DATA32
CMT	9c1b0	eol	IMAGE_THUNK_DATA32
CMT	9c1b4	eol	IMAGE_THUNK_DATA32
CMT	9c1b8	eol	IMAGE_THUNK_DATA32
CMT	9c1bc	eol	IMAGE_THUNK_DATA32
CMT	9c1c0	eol	IMAGE_THUNK_DATA32
CMT	9c1c4	eol	IMAGE_THUNK_DATA32
CMT	9c1c8	eol	IMAGE_THUNK_DATA32
CMT	9c1cc	eol	IMAGE_THUNK_DATA32
CMT	9c1d0	eol	IMAGE_THUNK_DATA32
CMT	9c1d4	eol	IMAGE_THUNK_DATA32
CMT	9c1d8	eol	IMAGE_THUNK_DATA32
CMT	9c1dc	eol	IMAGE_THUNK_DATA32
CMT	9c1e0	eol	IMAGE_THUNK_DATA32
CMT	9c1e4	eol	IMAGE_THUNK_DATA32
CMT	9c1e8	eol	IMAGE_THUNK_DATA32
CMT	9c1ec	eol	IMAGE_THUNK_DATA32
CMT	9c1f0	eol	IMAGE_THUNK_DATA32
CMT	9c1f4	eol	IMAGE_THUNK_DATA32
CMT	9c1f8	eol	IMAGE_THUNK_DATA32
CMT	9c1fc	eol	IMAGE_THUNK_DATA32
CMT	9c200	eol	IMAGE_THUNK_DATA32
CMT	9c204	eol	IMAGE_THUNK_DATA32
CMT	9c208	eol	IMAGE_THUNK_DATA32
CMT	9c20c	eol	IMAGE_THUNK_DATA32
CMT	9c210	eol	IMAGE_THUNK_DATA32
CMT	9c214	eol	IMAGE_THUNK_DATA32
CMT	9c218	eol	IMAGE_THUNK_DATA32
CMT	9c21c	eol	IMAGE_THUNK_DATA32
CMT	9c220	eol	IMAGE_THUNK_DATA32
CMT	9c224	eol	IMAGE_THUNK_DATA32
CMT	9c228	eol	IMAGE_THUNK_DATA32
CMT	9c22c	eol	IMAGE_THUNK_DATA32
CMT	9c230	eol	IMAGE_THUNK_DATA32
CMT	9c234	eol	IMAGE_THUNK_DATA32
CMT	9c238	eol	IMAGE_THUNK_DATA32
CMT	9c23c	eol	IMAGE_THUNK_DATA32
CMT	9c240	eol	IMAGE_THUNK_DATA32
CMT	9c248	eol	IMAGE_THUNK_DATA32
CMT	9c250	eol	IMAGE_THUNK_DATA32
CMT	9c258	pre	1  CreateCompatibleDC  <<not bound>>
CMT	9c25c	pre	2  CreateDIBSection  <<not bound>>
CMT	9c260	pre	3  DeleteDC  <<not bound>>
CMT	9c264	pre	4  DeleteObject  <<not bound>>
CMT	9c268	pre	5  GetStockObject  <<not bound>>
CMT	9c26c	pre	6  SelectObject  <<not bound>>
CMT	9c270	pre	7  SetBkMode  <<not bound>>
CMT	9c274	pre	8  StretchBlt  <<not bound>>
CMT	9c27c	pre	1  joyGetDevCapsA  <<not bound>>
CMT	9c280	pre	2  joyGetNumDevs  <<not bound>>
CMT	9c284	pre	3  joyGetPosEx  <<not bound>>
CMT	9c288	pre	4  mciGetErrorStringA  <<not bound>>
CMT	9c28c	pre	5  mciSendCommandA  <<not bound>>
CMT	9c290	pre	6  timeGetTime  <<not bound>>
CMT	9c298	pre	1  AdjustWindowRectEx  <<not bound>>
CMT	9c29c	pre	2  CharUpperBuffA  <<not bound>>
CMT	9c2a0	pre	3  CreateWindowExA  <<not bound>>
CMT	9c2a4	pre	4  DefWindowProcA  <<not bound>>
CMT	9c2a8	pre	5  DispatchMessageA  <<not bound>>
CMT	9c2ac	pre	6  GetAsyncKeyState  <<not bound>>
CMT	9c2b0	pre	7  GetClientRect  <<not bound>>
CMT	9c2b4	pre	8  GetDC  <<not bound>>
CMT	9c2b8	pre	9  GetFocus  <<not bound>>
CMT	9c2bc	pre	10  GetSystemMetrics  <<not bound>>
CMT	9c2c0	pre	11  LoadCursorA  <<not bound>>
CMT	9c2c4	pre	12  LoadIconA  <<not bound>>
CMT	9c2c8	pre	13  MessageBeep  <<not bound>>
CMT	9c2cc	pre	14  MessageBoxA  <<not bound>>
CMT	9c2d0	pre	15  PeekMessageA  <<not bound>>
CMT	9c2d4	pre	16  PostQuitMessage  <<not bound>>
CMT	9c2d8	pre	17  RegisterClassA  <<not bound>>
CMT	9c2dc	pre	18  ReleaseDC  <<not bound>>
CMT	9c2e0	pre	19  ShowCursor  <<not bound>>
CMT	9c2e4	pre	20  ShowWindow  <<not bound>>
CMT	9c2e8	pre	21  TranslateMessage  <<not bound>>
CMT	9c2ec	pre	22  UpdateWindow  <<not bound>>
CMT	9c2f4	pre	1  CloseHandle  <<not bound>>
CMT	9c2f8	pre	2  CreateEventA  <<not bound>>
CMT	9c2fc	pre	3  CreateFileA  <<not bound>>
CMT	9c300	pre	4  CreateFileMappingA  <<not bound>>
CMT	9c304	pre	5  CreateThread  <<not bound>>
CMT	9c308	pre	6  DeleteCriticalSection  <<not bound>>
CMT	9c30c	pre	7  DeleteFileA  <<not bound>>
CMT	9c310	pre	8  DosDateTimeToFileTime  <<not bound>>
CMT	9c314	pre	9  EnterCriticalSection  <<not bound>>
CMT	9c318	pre	10  ExitProcess  <<not bound>>
CMT	9c31c	pre	11  ExitThread  <<not bound>>
CMT	9c320	pre	12  FileTimeToDosDateTime  <<not bound>>
CMT	9c324	pre	13  FileTimeToLocalFileTime  <<not bound>>
CMT	9c328	pre	14  FindClose  <<not bound>>
CMT	9c32c	pre	15  FindFirstFileA  <<not bound>>
CMT	9c330	pre	16  FindNextFileA  <<not bound>>
CMT	9c334	pre	17  FlushFileBuffers  <<not bound>>
CMT	9c338	pre	18  GetACP  <<not bound>>
CMT	9c33c	pre	19  GetCPInfo  <<not bound>>
CMT	9c340	pre	20  GetCommandLineA  <<not bound>>
